"State","Single Filer (Rates)","","Single Filer (Brackets)","Married Filing Jointly (Rates)","","Married Filing Jointly (Brackets)","Standard Deduction (Single)","Standard Deduction (Couple)","Personal Exemption (Single)","Personal Exemption (Couple)","Personal Exemption (Dependent)"
"- Delaware","5.55%",">","$25,000","5.55%",">","$25,000","","","","",""
"- Delaware","6.60%",">","$60,000","6.60%",">","$60,000","","","","",""
"Florida","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Georgia","5.19%",">","$0","5.19%",">","$0","$12,000","$24,000","n.a.","n.a.","$4,000"
"Hawaii (m, t)","1.40%",">","$0","1.40%",">","$0","$4,400","$8,800","$1,144","$2,288","$1,144"
"- Hawaii","3.20%",">","$9,600","3.20%",">","$19,200","","","","",""
"- Hawaii","5.50%",">","$14,400","5.50%",">","$28,800","","","","",""
"- Hawaii","6.40%",">","$19,200","6.40%",">","$38,400","","","","",""
"- Hawaii","6.80%",">","$24,000","6.80%",">","$48,000","","","","",""
"- Hawaii","7.20%",">","$36,000","7.20%",">","$72,000","","","","",""
"- Hawaii","7.60%",">","$48,000","7.60%",">","$96,000","","","","",""
"- Hawaii","7.90%",">","$125,000","7.90%",">","$250,000","","","","",""
"- Hawaii","8.25%",">","$175,000","8.25%",">","$350,000","","","","",""
"- Hawaii","9.00%",">","$225,000","9.00%",">","$450,000","","","","",""
"- Hawaii","10.00%",">","$275,000","10.00%",">","$550,000","","","","",""
"- Hawaii","11.00%",">","$325,000","11.00%",">","$650,000","","","","",""
"Idaho (j, m, o, u)","5.30%",">","$4,811","5.30%",">","$9,622","$16,100","$32,200","n.a.","n.a.","n.a."
"Illinois (d, m, v)","4.95%",">","$0","4.95%",">","$0","n.a.","n.a.","$2,925","$5,850","$2,925"
"Indiana (a, m, w)","2.95%",">","$0","2.95%",">","$0","n.a.","n.a.","$1,000","$2,000","$1,000"
"Iowa (a, h, o)","3.80%",">","$0","3.80%",">","$0","$16,100","$32,200","$40 credit","$80 credit","$40 credit"
"- Iowa","","","","","","","","","","",""
"Kansas (a, m)","5.20%",">","$0","5.20%",">","$0","$3,605","$8,240","$9,160","$18,320","$2,320"
"- Kansas","5.58%",">","$23,000","5.58%",">","$46,000","","","","",""
"Kentucky (a, d, z)","3.50%",">","$0","3.50%",">","$0","$3,360","$3,360","n.a.","n.a.","n.a."
"- Kentucky","","","","","","","","","","",""
"Louisiana (d)","3.00%",">","$0","3.00%",">","$0","$12,875","$25,750","n.a.","n.a.","n.a."
"- Louisiana","","","","","","","","","","",""
"Maine (u, y, bb, ll, vv, ww)","5.80%",">","$0","5.80%",">","$0","$8,350","$16,700","$5,300","$10,600","$305 credit"
"- Maine","6.75%",">","$27,399","6.75%",">","$54,849","","","","",""
"- Maine","7.15%",">","$64,849","7.15%",">","$129,749","","","","",""
"Maryland (a, m, x, vv, aa)","2.00%",">","$0","2.00%",">","$0","$3,350","$6,700","$3,200","$6,400","$3,200"
"- Maryland","3.00%",">","$1,000","3.00%",">","$1,000","","","","",""
"- Maryland","4.00%",">","$2,000","4.00%",">","$2,000","","","","",""
"- Maryland","4.75%",">","$3,000","4.75%",">","$3,000","","","","",""
"- Maryland","5.00%",">","$100,000","5.00%",">","$150,000","","","","",""
"- Maryland","5.25%",">","$125,000","5.25%",">","$175,000","","","","",""
"- Maryland","5.50%",">","$150,000","5.50%",">","$225,000","","","","",""
"- Maryland","5.75%",">","$250,000","5.75%",">","$300,000","","","","",""
"- Maryland","6.25%",">","$500,000","6.25%",">","$600,000","","","","",""
"- Maryland","6.50%",">","$1,000,000","6.50%",">","$1,200,000","","","","",""
"Massachusetts (j, rr)","5.00%",">","$0","5.00%",">","$0","n.a.","n.a.","$4,400","$8,800","$1,000"
"- Massachusetts","9.00%",">","$1,083,150","9.00%",">","$1,083,150","","","","",""
"Michigan (a, d)","4.25%",">","$0","4.25%",">","$0","n.a.","n.a.","$5,900","$11,800","$5,900"
"Minnesota (d, bb, cc, oo, vv)","5.35%",">","$0","5.35%",">","$0","$15,300","$30,600","n.a.","n.a.","$5,300"
"- Minnesota","6.80%",">","$33,310","6.80%",">","$48,700","","","","",""
"- Minnesota","7.85%",">","$109,430","7.85%",">","$193,480","","","","",""
"- Minnesota","9.85%",">","$203,150","9.85%",">","$337,930","","","","",""
"Mississippi","4.00%",">","$10,000","4.00%",">","$10,000","$2,300","$4,600","$6,000","$12,000","$1,500"
"Missouri (a, b, m, u, bb)","2.00%",">","$1,348","2.00%",">","$1,348","$16,100","$32,200","n.a","n.a","n.a"
"- Missouri","2.50%",">","$2,696","2.50%",">","$2,696","","","","",""
"- Missouri","3.00%",">","$4,044","3.00%",">","$4,044","","","","",""
"- Missouri","3.50%",">","$5,392","3.50%",">","$5,392","","","","",""
"- Missouri","4.00%",">","$6,740","4.00%",">","$6,740","","","","",""
"- Missouri","4.50%",">","$8,088","4.50%",">","$8,088","","","","",""
"- Missouri","4.70%",">","$9,436","4.70%",">","$9,436","","","","",""
"Montana (o, u, bb)","4.70%",">","$0","4.70%",">","$0","$16,100","$32,200","n.a","n.a","n.a"
"- Montana","5.65%",">","$47,500","5.65%",">","$95,000","","","","",""
"Nebraska (d, h, m, bb)","2.46%",">","$0","2.46%",">","$0","$8,850","$17,700","$176 credit","$352 credit","$176 credit"
"- Nebraska","3.51%",">","$4,130","3.51%",">","$8,250","","","","",""
"- Nebraska","4.55%",">","$24,760","4.55%",">","$49,530","","","","",""
"Nevada","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"New Hampshire","none","","","none","","","n.a","n.a","n.a.","n.a.","n.a."
"New Jersey (a)","1.40%",">","$0","1.40%",">","$0","n.a.","n.a.","$1,000","$2,000","$1,500"
"- New Jersey","1.75%",">","$20,000","1.75%",">","$20,000","","","","",""
"- New Jersey","3.50%",">","$35,000","2.45%",">","$50,000","","","","",""
"- New Jersey","5.53%",">","$40,000","3.50%",">","$70,000","","","","",""
"- New Jersey","6.37%",">","$75,000","5.53%",">","$80,000","","","","",""
"- New Jersey","8.97%",">","$500,000","6.37%",">","$150,000","","","","",""
"- New Jersey","10.75%",">","$1,000,000","8.97%",">","$500,000","","","","",""
"- New Jersey","","","","10.75%",">","$1,000,000","","","","",""
"New Mexico (m, o, u, jj)","1.50%",">","$0","1.50%",">","$0","$16,100","$32,200","n.a.","n.a.","$4,000"
"- New Mexico","3.20%",">","$5,500","3.20%",">","$8,000","","","","",""
"- New Mexico","4.30%",">","$16,500","4.30%",">","$25,000","","","","",""
"- New Mexico","4.70%",">","$33,500","4.70%",">","$50,000","","","","",""
"- New Mexico","4.90%",">","$66,500","4.90%",">","$100,000","","","","",""
"- New Mexico","5.90%",">","$210,000","5.90%",">","$315,000","","","","",""
"New York (a, i)","3.90%",">","$0","3.90%",">","$0","$8,000","$16,050","n.a.","n.a.","$1,000"
"- New York","4.40%",">","$8,500","4.40%",">","$17,150","","","","",""
"- New York","5.15%",">","$11,700","5.15%",">","$23,600","","","","",""
"- New York","5.40%",">","$13,900","5.40%",">","$27,900","","","","",""
"- New York","5.90%",">","$80,650","5.90%",">","$161,550","","","","",""
"- New York","6.85%",">","$215,400","6.85%",">","$323,200","","","","",""
"- New York","9.65%",">","$1,077,550","9.65%",">","$2,155,350","","","","",""
"- New York","10.30%",">","$5,000,000","10.30%",">","$5,000,000","","","","",""
"- New York","10.90%",">","$25,000,000","10.90%",">","$25,000,000","","","","",""
"North Carolina","3.99%",">","$0","3.99%",">","$0","$12,750","$25,500","n.a.","n.a.","n.a."
"North Dakota (j, o, u)","1.95%",">","$48,475","1.95%",">","$80,975","$16,100","$32,200","n.a.","n.a.","n.a."
"- North Dakota","2.50%",">","$244,825","2.50%",">","$298,075","","","","",""
"Ohio (a, bb, dd, pp)","2.75%",">","$26,050","2.75%",">","$26,050","n.a.","n.a.","$2,400","$4,800","$2,400"
"- Ohio","","","","","","","","","","",""
"Oklahoma (m)","2.50%",">","$3,750","2.50%",">","$7,500","$6,350","$12,700","$1,000","$2,000","$1,000"
"- Oklahoma","3.50%",">","$4,900","3.50%",">","$9,800","","","","",""
"- Oklahoma","4.50%",">","$7,200","4.50%",">","$14,400","","","","",""
"Oregon (a, b, d, h, m, bb, ee, nn)","4.75%",">","$0","4.75%",">","$0","$2,910","$5,820","$256 credit","$512 credit","$256 credit"
"- Oregon","6.75%",">","$4,550","6.75%",">","$9,100","","","","",""
"- Oregon","8.75%",">","$11,400","8.75%",">","$22,800","","","","",""
"- Oregon","9.90%",">","$125,000","9.90%",">","$250,000","","","","",""
"Pennsylvania (a)","3.07%",">","$0","3.07%",">","$0","n.a.","n.a.","n.a.","n.a.","n.a."
"Rhode Island (d, bb, ff)","3.75%",">","$0","3.75%",">","$0","$11,200","$22,400","$5,250","$10,500","$5,250"
"- Rhode Island","4.75%",">","$82,050","4.75%",">","$82,050","","","","",""
"- Rhode Island","5.99%",">","$186,450","5.99%",">","$186,450","","","","",""
"South Carolina (d, o, u, bb, qq, vv, ww)","0.00%",">","$0","0.00%",">","$0","$8,350","$16,700","n.a.","n.a.","$4,930"
"- South Carolina","3.00%",">","$3,640","3.00%",">","$3,640","","","","",""
"- South Carolina","6.00%",">","$18,230","6.00%",">","$18,230","","","","",""
"South Dakota","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Tennessee","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Texas","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Utah (d, h, gg, ll)","4.50%",">","$0","4.50%",">","$0","$966 credit","$1,932 credit","n.a.","n.a.","$2,111"
"Vermont (j, n, hh, mm)","3.35%",">","$0","3.35%",">","$0","$7,650","$15,300","$5,300","$10,600","$5,300"
"- Vermont","6.60%",">","$49,400","6.60%",">","$82,500","","","","",""
"- Vermont","7.60%",">","$119,700","7.60%",">","$199,450","","","","",""
"- Vermont","8.75%",">","$249,700","8.75%",">","$304,000","","","","",""
"Virginia (m)","2.00%",">","$0","2.00%",">","$0","$8,750","$17,500","$930","$1,860","$930"
"- Virginia","3.00%",">","$3,000","3.00%",">","$3,000","","","","",""
"- Virginia","5.00%",">","$5,000","5.00%",">","$5,000","","","","",""
"- Virginia","5.75%",">","$17,000","5.75%",">","$17,000","","","","",""
"Washington (n, ss, tt)","Capital gains income only","","","","","","","","","",""
"- Washington","7%",">","$0","7%",">","$0","$278,000","$278,000","n.a.","n.a.","n.a."
"- Washington","9%",">","$1,000,000","9%",">","$1,000,000","","","","",""
"West Virginia (a, m)","2.22%",">","$0","2.22%",">","$0","n.a.","n.a.","$2,000","$4,000","$2,000"
"- West Virginia","2.96%",">","$10,000","2.96%",">","$10,000","","","","",""
"- West Virginia","3.33%",">","$25,000","3.33%",">","$25,000","","","","",""
"- West Virginia","4.44%",">","$40,000","4.44%",">","$40,000","","","","",""
"- West Virginia","4.82%",">","$60,000","4.82%",">","$60,000","","","","",""
"Wisconsin (d, m, bb, ii)","3.50%",">","$0","3.50%",">","$0","$13,960","$25,840","$700","$1,400","$700"
"- Wisconsin","4.40%",">","$15,110","4.40%",">","$20,150","","","","",""
"- Wisconsin","5.30%",">","$51,950","5.30%",">","$69,260","","","","",""
"- Wisconsin","7.65%",">","$332,720","7.65%",">","$443,630","","","","",""
"Wyoming","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Washington DC (u)","4.00%",">","$0","4.00%",">","$0","$16,100","$32,200","n.a.","n.a.","n.a."
"- Washington DC","6.00%",">","$10,000","6.00%",">","$10,000","","","","",""
"- Washington DC","6.50%",">","$40,000","6.50%",">","$40,000","","","","",""
"- Washington DC","8.50%",">","$60,000","8.50%",">","$60,000","","","","",""
"- Washington DC","9.25%",">","$250,000","9.25%",">","$250,000","","","","",""
"- Washington DC","9.75%",">","$500,000","9.75%",">","$500,000","","","","",""
"- Washington DC","10.75%",">","$1,000,000","10.75%",">","$1,000,000","","","","",""

